dt,hour,hostid,mod,avg_value,max_value,min_value,sample_cnt
2026-07-01,0,host003,cpu_user,18.24,18.24,18.24,1
2026-07-01,0,host003,cpu_wait,4.77,4.77,4.77,1
2026-07-01,0,host003,load1,22.41,22.41,22.41,1
2026-07-01,0,host003,load15,13.80,13.80,13.80,1
2026-07-01,0,host003,load5,26.47,26.47,26.47,1
2026-07-01,0,host003,mem_buff,82457.00,82457.00,82457.00,1
2026-07-01,0,host003,mem_cache,10621.00,10621.00,10621.00,1
2026-07-01,0,host003,mem_free,33360.00,33360.00,33360.00,1
2026-07-01,0,host003,mem_swap,5041.00,5041.00,5041.00,1
2026-07-01,0,host003,mem_used,92317.00,92317.00,92317.00,1
2026-07-01,0,host003,net_in,743.01,743.01,743.01,1
2026-07-01,0,host003,net_out,186.36,186.36,186.36,1
2026-07-01,0,host003,net_pktin,31238.00,31238.00,31238.00,1
2026-07-01,0,host003,net_pktout,96463.00,96463.00,96463.00,1
2026-07-01,0,host003,proc_block,383.00,383.00,383.00,1
2026-07-01,0,host003,proc_run,339.00,339.00,339.00,1
2026-07-01,0,host003,proc_total,218.00,218.00,218.00,1
2026-07-01,0,host004,cpu_idle,92.31,92.31,92.31,1
2026-07-01,0,host004,cpu_sys,31.36,31.36,31.36,1
2026-07-01,0,host004,cpu_usage,41.14,41.14,41.14,1
2026-07-01,0,host004,cpu_user,46.05,46.05,46.05,1
2026-07-01,0,host004,cpu_wait,2.91,2.91,2.91,1
2026-07-01,0,host004,load1,31.89,31.89,31.89,1
2026-07-01,0,host004,load15,13.35,13.35,13.35,1
2026-07-01,0,host004,load5,19.43,19.43,19.43,1
2026-07-01,0,host004,mem_buff,25998.00,25998.00,25998.00,1
2026-07-01,0,host004,mem_cache,105729.00,105729.00,105729.00,1
2026-07-01,0,host004,mem_free,103320.00,103320.00,103320.00,1
2026-07-01,0,host004,mem_swap,117505.00,117505.00,117505.00,1
2026-07-01,0,host004,mem_used,79722.00,79722.00,79722.00,1
2026-07-01,0,host004,net_in,702.81,702.81,702.81,1
2026-07-01,0,host004,net_out,274.10,274.10,274.10,1
2026-07-01,0,host004,net_pktin,99168.00,99168.00,99168.00,1
2026-07-01,0,host004,net_pktout,64801.00,64801.00,64801.00,1
2026-07-01,0,host004,proc_block,167.00,167.00,167.00,1
2026-07-01,0,host004,proc_run,433.00,433.00,433.00,1
2026-07-01,0,host004,proc_total,131.00,131.00,131.00,1
2026-07-01,0,host005,cpu_idle,44.02,44.02,44.02,1
2026-07-01,0,host005,cpu_sys,5.77,5.77,5.77,1
2026-07-01,0,host005,cpu_usage,46.70,46.70,46.70,1
2026-07-01,0,host005,cpu_user,40.64,40.64,40.64,1
2026-07-01,0,host005,cpu_wait,23.31,23.31,23.31,1
2026-07-01,0,host005,load1,14.24,14.24,14.24,1
2026-07-01,0,host005,load15,4.43,4.43,4.43,1
2026-07-01,0,host005,load5,10.68,10.68,10.68,1
2026-07-01,0,host005,mem_buff,38920.00,38920.00,38920.00,1
2026-07-01,0,host005,mem_cache,84834.00,84834.00,84834.00,1
2026-07-01,0,host005,mem_free,15177.00,15177.00,15177.00,1
2026-07-01,0,host005,mem_swap,3599.00,3599.00,3599.00,1
2026-07-01,0,host005,mem_used,38831.00,38831.00,38831.00,1
2026-07-01,0,host005,net_in,193.04,193.04,193.04,1
2026-07-01,0,host005,net_out,981.13,981.13,981.13,1
2026-07-01,0,host005,net_pktin,40082.00,40082.00,40082.00,1
2026-07-01,0,host005,net_pktout,69001.00,69001.00,69001.00,1
2026-07-01,0,host005,proc_block,199.00,199.00,199.00,1
2026-07-01,0,host005,proc_run,380.00,380.00,380.00,1
2026-07-01,0,host005,proc_total,61.00,61.00,61.00,1
2026-07-01,0,host006,cpu_idle,23.68,23.68,23.68,1
2026-07-01,0,host006,cpu_sys,46.96,46.96,46.96,1
2026-07-01,0,host006,cpu_usage,48.38,48.38,48.38,1
2026-07-01,0,host006,cpu_user,14.92,14.92,14.92,1
2026-07-01,0,host006,cpu_wait,9.06,9.06,9.06,1
2026-07-01,0,host006,load1,28.04,28.04,28.04,1
2026-07-01,0,host006,load15,19.53,19.53,19.53,1
2026-07-01,0,host006,load5,22.35,22.35,22.35,1
2026-07-01,0,host006,mem_buff,44499.00,44499.00,44499.00,1
2026-07-01,0,host006,mem_cache,34714.00,34714.00,34714.00,1
2026-07-01,0,host006,mem_free,5431.00,5431.00,5431.00,1
2026-07-01,0,host006,mem_swap,117080.00,117080.00,117080.00,1
2026-07-01,0,host006,mem_used,58438.00,58438.00,58438.00,1
2026-07-01,0,host006,net_in,260.04,260.04,260.04,1
2026-07-01,0,host006,net_out,865.62,865.62,865.62,1
2026-07-01,0,host006,net_pktin,46930.00,46930.00,46930.00,1
2026-07-01,0,host006,net_pktout,66103.00,66103.00,66103.00,1
2026-07-01,0,host006,proc_block,392.00,392.00,392.00,1
2026-07-01,0,host006,proc_run,500.00,500.00,500.00,1
2026-07-01,0,host006,proc_total,362.00,362.00,362.00,1
2026-07-01,0,host007,cpu_idle,57.72,57.72,57.72,1
2026-07-01,0,host007,cpu_sys,13.47,13.47,13.47,1
2026-07-01,0,host007,cpu_usage,69.93,69.93,69.93,1
2026-07-01,0,host007,cpu_user,34.66,34.66,34.66,1
2026-07-01,0,host007,cpu_wait,45.49,45.49,45.49,1
2026-07-01,0,host007,load1,5.09,5.09,5.09,1
2026-07-01,0,host007,load15,31.43,31.43,31.43,1
2026-07-01,0,host007,load5,13.03,13.03,13.03,1
2026-07-01,0,host007,mem_buff,7244.00,7244.00,7244.00,1
2026-07-01,0,host007,mem_cache,122381.00,122381.00,122381.00,1
2026-07-01,0,host007,mem_free,113875.00,113875.00,113875.00,1
2026-07-01,0,host007,mem_swap,24139.00,24139.00,24139.00,1
2026-07-01,0,host007,mem_used,30760.00,30760.00,30760.00,1
2026-07-01,0,host007,net_in,107.24,107.24,107.24,1
2026-07-01,0,host007,net_out,592.28,592.28,592.28,1
2026-07-01,0,host007,net_pktin,10195.00,10195.00,10195.00,1
2026-07-01,0,host007,net_pktout,70248.00,70248.00,70248.00,1
2026-07-01,0,host007,proc_block,497.00,497.00,497.00,1
2026-07-01,0,host007,proc_run,242.00,242.00,242.00,1
2026-07-01,0,host007,proc_total,68.00,68.00,68.00,1
2026-07-01,0,host008,cpu_idle,37.04,37.04,37.04,1
2026-07-01,0,host008,cpu_sys,5.74,5.74,5.74,1
2026-07-01,0,host008,cpu_usage,5.55,5.55,5.55,1
2026-07-01,0,host008,cpu_user,1.77,1.77,1.77,1
2026-07-01,0,host008,cpu_wait,11.52,11.52,11.52,1
2026-07-01,0,host008,load1,14.25,14.25,14.25,1
2026-07-01,0,host008,load15,28.84,28.84,28.84,1
2026-07-01,0,host008,load5,8.05,8.05,8.05,1
2026-07-01,0,host008,mem_buff,25450.00,25450.00,25450.00,1
2026-07-01,0,host008,mem_cache,45151.00,45151.00,45151.00,1
2026-07-01,0,host008,mem_free,114886.00,114886.00,114886.00,1
2026-07-01,0,host008,mem_swap,125682.00,125682.00,125682.00,1
2026-07-01,0,host008,mem_used,122260.00,122260.00,122260.00,1
2026-07-01,0,host008,net_in,382.86,382.86,382.86,1
2026-07-01,0,host008,net_out,912.74,912.74,912.74,1
2026-07-01,0,host008,net_pktin,54488.00,54488.00,54488.00,1
2026-07-01,0,host008,net_pktout,35600.00,35600.00,35600.00,1
2026-07-01,0,host008,proc_block,473.00,473.00,473.00,1
2026-07-01,0,host008,proc_run,97.00,97.00,97.00,1
2026-07-01,0,host008,proc_total,463.00,463.00,463.00,1
2026-07-01,0,host009,cpu_idle,66.80,66.80,66.80,1
2026-07-01,0,host009,cpu_sys,16.36,16.36,16.36,1
2026-07-01,0,host009,cpu_usage,60.12,60.12,60.12,1
2026-07-01,0,host009,cpu_user,21.78,21.78,21.78,1
2026-07-01,0,host009,cpu_wait,33.78,33.78,33.78,1
2026-07-01,0,host009,load1,5.49,5.49,5.49,1
2026-07-01,0,host009,load15,19.44,19.44,19.44,1
2026-07-01,0,host009,load5,27.41,27.41,27.41,1
2026-07-01,0,host009,mem_buff,14515.00,14515.00,14515.00,1
2026-07-01,0,host009,mem_cache,75580.00,75580.00,75580.00,1
2026-07-01,0,host009,mem_free,115632.00,115632.00,115632.00,1
2026-07-01,0,host009,mem_swap,19250.00,19250.00,19250.00,1
2026-07-01,0,host009,mem_used,7421.00,7421.00,7421.00,1
2026-07-01,0,host009,net_in,991.80,991.80,991.80,1
2026-07-01,0,host009,net_out,459.57,459.57,459.57,1
2026-07-01,0,host009,net_pktin,54846.00,54846.00,54846.00,1
2026-07-01,0,host009,net_pktout,54411.00,54411.00,54411.00,1
2026-07-01,0,host009,proc_block,183.00,183.00,183.00,1
2026-07-01,0,host009,proc_run,117.00,117.00,117.00,1
2026-07-01,0,host009,proc_total,92.00,92.00,92.00,1
2026-07-01,0,host010,cpu_idle,76.66,76.66,76.66,1
2026-07-01,0,host010,cpu_sys,2.91,2.91,2.91,1
2026-07-01,0,host010,cpu_usage,12.26,12.26,12.26,1
2026-07-01,0,host010,cpu_user,10.54,10.54,10.54,1
2026-07-01,0,host010,cpu_wait,14.21,14.21,14.21,1
2026-07-01,0,host010,load1,9.68,9.68,9.68,1
2026-07-01,0,host010,load15,18.01,18.01,18.01,1
2026-07-01,0,host010,load5,17.19,17.19,17.19,1
2026-07-01,0,host010,mem_buff,78942.00,78942.00,78942.00,1
2026-07-01,0,host010,mem_cache,99270.00,99270.00,99270.00,1
2026-07-01,0,host010,mem_free,65522.00,65522.00,65522.00,1
2026-07-01,0,host010,mem_swap,128404.00,128404.00,128404.00,1
2026-07-01,0,host010,mem_used,31289.00,31289.00,31289.00,1
2026-07-01,0,host010,net_in,967.46,967.46,967.46,1
2026-07-01,0,host010,net_out,549.03,549.03,549.03,1
2026-07-01,0,host010,net_pktin,24377.00,24377.00,24377.00,1
2026-07-01,0,host010,net_pktout,4019.00,4019.00,4019.00,1
2026-07-01,0,host010,proc_block,377.00,377.00,377.00,1
2026-07-01,0,host010,proc_run,366.00,366.00,366.00,1
2026-07-01,0,host010,proc_total,110.00,110.00,110.00,1
2026-07-01,0,host011,cpu_idle,36.70,36.70,36.70,1
2026-07-01,0,host011,cpu_sys,10.98,10.98,10.98,1
2026-07-01,0,host011,cpu_usage,5.52,5.52,5.52,1
2026-07-01,0,host011,cpu_user,10.39,10.39,10.39,1
2026-07-01,0,host011,cpu_wait,0.49,0.49,0.49,1
2026-07-01,0,host011,load1,5.66,5.66,5.66,1
2026-07-01,0,host011,load15,20.66,20.66,20.66,1
2026-07-01,0,host011,load5,7.93,7.93,7.93,1
2026-07-01,0,host011,mem_buff,50981.00,50981.00,50981.00,1
2026-07-01,0,host011,mem_cache,88529.00,88529.00,88529.00,1
2026-07-01,0,host011,mem_free,14012.00,14012.00,14012.00,1
2026-07-01,0,host011,mem_swap,54111.00,54111.00,54111.00,1
2026-07-01,0,host011,mem_used,60833.00,60833.00,60833.00,1
2026-07-01,0,host011,net_in,812.24,812.24,812.24,1
2026-07-01,0,host011,net_out,151.66,151.66,151.66,1
2026-07-01,0,host011,net_pktin,37280.00,37280.00,37280.00,1
2026-07-01,0,host011,net_pktout,85482.00,85482.00,85482.00,1
2026-07-01,0,host011,proc_block,61.00,61.00,61.00,1
2026-07-01,0,host011,proc_run,23.00,23.00,23.00,1
2026-07-01,0,host011,proc_total,465.00,465.00,465.00,1
2026-07-01,0,host012,cpu_idle,92.06,92.06,92.06,1
2026-07-01,0,host012,cpu_sys,41.61,41.61,41.61,1
2026-07-01,0,host012,cpu_usage,45.00,45.00,45.00,1
2026-07-01,0,host012,cpu_user,5.15,5.15,5.15,1
2026-07-01,0,host012,cpu_wait,16.81,16.81,16.81,1
2026-07-01,0,host012,load1,28.22,28.22,28.22,1
2026-07-01,0,host012,load15,12.76,12.76,12.76,1
2026-07-01,0,host012,load5,30.99,30.99,30.99,1
2026-07-01,0,host012,mem_buff,29410.00,29410.00,29410.00,1
2026-07-01,0,host012,mem_cache,52771.00,52771.00,52771.00,1
2026-07-01,0,host012,mem_free,12006.00,12006.00,12006.00,1
2026-07-01,0,host012,mem_swap,36415.00,36415.00,36415.00,1
2026-07-01,0,host012,mem_used,55244.00,55244.00,55244.00,1
2026-07-01,0,host012,net_in,194.74,194.74,194.74,1
2026-07-01,0,host012,net_out,243.62,243.62,243.62,1
2026-07-01,0,host012,net_pktin,73856.00,73856.00,73856.00,1
2026-07-01,0,host012,net_pktout,98572.00,98572.00,98572.00,1
2026-07-01,0,host012,proc_block,455.00,455.00,455.00,1
2026-07-01,0,host012,proc_run,65.00,65.00,65.00,1
2026-07-01,0,host012,proc_total,258.00,258.00,258.00,1
2026-07-01,0,host013,cpu_idle,83.75,83.75,83.75,1
2026-07-01,0,host013,cpu_sys,40.95,40.95,40.95,1
2026-07-01,0,host013,cpu_usage,52.31,52.31,52.31,1
2026-07-01,0,host013,cpu_user,11.43,11.43,11.43,1
2026-07-01,0,host013,cpu_wait,49.92,49.92,49.92,1
2026-07-01,0,host013,load1,23.86,23.86,23.86,1
2026-07-01,0,host013,load15,7.38,7.38,7.38,1
2026-07-01,0,host013,load5,13.25,13.25,13.25,1
2026-07-01,0,host013,mem_buff,6176.00,6176.00,6176.00,1
2026-07-01,0,host013,mem_cache,127077.00,127077.00,127077.00,1
2026-07-01,0,host013,mem_free,128147.00,128147.00,128147.00,1
2026-07-01,0,host013,mem_swap,105787.00,105787.00,105787.00,1
2026-07-01,0,host013,mem_used,102560.00,102560.00,102560.00,1
2026-07-01,0,host013,net_in,396.87,396.87,396.87,1
2026-07-01,0,host013,net_out,393.93,393.93,393.93,1
2026-07-01,0,host013,net_pktin,72913.00,72913.00,72913.00,1
2026-07-01,0,host013,net_pktout,91189.00,91189.00,91189.00,1
2026-07-01,0,host013,proc_block,246.00,246.00,246.00,1
2026-07-01,0,host013,proc_run,384.00,384.00,384.00,1
2026-07-01,0,host013,proc_total,8.00,8.00,8.00,1
2026-07-01,0,host014,cpu_idle,89.84,89.84,89.84,1
2026-07-01,0,host014,cpu_sys,4.15,4.15,4.15,1
2026-07-01,0,host014,cpu_usage,56.12,56.12,56.12,1
2026-07-01,0,host014,cpu_user,14.46,14.46,14.46,1
2026-07-01,0,host014,cpu_wait,1.02,1.02,1.02,1
2026-07-01,0,host014,load1,28.12,28.12,28.12,1
2026-07-01,0,host014,load15,14.77,14.77,14.77,1
2026-07-01,0,host014,load5,13.94,13.94,13.94,1
2026-07-01,0,host014,mem_buff,59743.00,59743.00,59743.00,1
2026-07-01,0,host014,mem_cache,92829.00,92829.00,92829.00,1
2026-07-01,0,host014,mem_free,83301.00,83301.00,83301.00,1
2026-07-01,0,host014,mem_swap,28835.00,28835.00,28835.00,1
2026-07-01,0,host014,mem_used,47505.00,47505.00,47505.00,1
2026-07-01,0,host014,net_in,276.22,276.22,276.22,1
2026-07-01,0,host014,net_out,618.72,618.72,618.72,1
2026-07-01,0,host014,net_pktin,99222.00,99222.00,99222.00,1
2026-07-01,0,host014,net_pktout,67590.00,67590.00,67590.00,1
2026-07-01,0,host014,proc_block,281.00,281.00,281.00,1
2026-07-01,0,host014,proc_run,350.00,350.00,350.00,1
2026-07-01,0,host014,proc_total,417.00,417.00,417.00,1
2026-07-01,0,host015,cpu_idle,83.85,83.85,83.85,1
2026-07-01,0,host015,cpu_sys,14.07,14.07,14.07,1
2026-07-01,0,host015,cpu_usage,5.52,5.52,5.52,1
2026-07-01,0,host015,cpu_user,26.34,26.34,26.34,1
2026-07-01,0,host015,cpu_wait,11.55,11.55,11.55,1
2026-07-01,0,host015,load1,1.13,1.13,1.13,1
2026-07-01,0,host015,load15,30.70,30.70,30.70,1
2026-07-01,0,host015,load5,18.78,18.78,18.78,1
2026-07-01,0,host015,mem_buff,47181.00,47181.00,47181.00,1
2026-07-01,0,host015,mem_cache,81745.00,81745.00,81745.00,1
2026-07-01,0,host015,mem_free,128824.00,128824.00,128824.00,1
2026-07-01,0,host015,mem_swap,56040.00,56040.00,56040.00,1
2026-07-01,0,host015,mem_used,30904.00,30904.00,30904.00,1
2026-07-01,0,host015,net_in,132.18,132.18,132.18,1
2026-07-01,0,host015,net_out,488.07,488.07,488.07,1
2026-07-01,0,host015,net_pktin,30964.00,30964.00,30964.00,1
2026-07-01,0,host015,net_pktout,1877.00,1877.00,1877.00,1
2026-07-01,0,host015,proc_block,391.00,391.00,391.00,1
2026-07-01,0,host015,proc_run,195.00,195.00,195.00,1
2026-07-01,0,host015,proc_total,117.00,117.00,117.00,1
2026-07-01,0,host016,cpu_idle,86.02,86.02,86.02,1
2026-07-01,0,host016,cpu_sys,44.41,44.41,44.41,1
2026-07-01,0,host016,cpu_usage,68.56,68.56,68.56,1
2026-07-01,0,host016,cpu_user,12.15,12.15,12.15,1
2026-07-01,0,host016,cpu_wait,20.35,20.35,20.35,1
2026-07-01,0,host016,load1,18.23,18.23,18.23,1
2026-07-01,0,host016,load15,6.75,6.75,6.75,1
2026-07-01,0,host016,load5,30.34,30.34,30.34,1
2026-07-01,0,host016,mem_buff,85766.00,85766.00,85766.00,1
2026-07-01,0,host016,mem_cache,99872.00,99872.00,99872.00,1
2026-07-01,0,host016,mem_free,43014.00,43014.00,43014.00,1
2026-07-01,0,host016,mem_swap,18434.00,18434.00,18434.00,1
2026-07-01,0,host016,mem_used,20096.00,20096.00,20096.00,1
2026-07-01,0,host016,net_in,509.92,509.92,509.92,1
2026-07-01,0,host016,net_out,276.37,276.37,276.37,1
2026-07-01,0,host016,net_pktin,3369.00,3369.00,3369.00,1
2026-07-01,0,host016,net_pktout,18378.00,18378.00,18378.00,1
2026-07-01,0,host016,proc_block,245.00,245.00,245.00,1
2026-07-01,0,host016,proc_run,77.00,77.00,77.00,1
2026-07-01,0,host016,proc_total,216.00,216.00,216.00,1
2026-07-01,0,host017,cpu_idle,70.27,70.27,70.27,1
2026-07-01,0,host017,cpu_sys,45.34,45.34,45.34,1
2026-07-01,0,host017,cpu_usage,21.34,21.34,21.34,1
2026-07-01,0,host017,cpu_user,9.17,9.17,9.17,1
2026-07-01,0,host017,cpu_wait,2.72,2.72,2.72,1
2026-07-01,0,host017,load1,28.36,28.36,28.36,1
2026-07-01,0,host017,load15,30.68,30.68,30.68,1
2026-07-01,0,host017,load5,3.60,3.60,3.60,1
2026-07-01,0,host017,mem_buff,12724.00,12724.00,12724.00,1
2026-07-01,0,host017,mem_cache,15360.00,15360.00,15360.00,1
2026-07-01,0,host017,mem_free,111317.00,111317.00,111317.00,1
2026-07-01,0,host017,mem_swap,9028.00,9028.00,9028.00,1
2026-07-01,0,host017,mem_used,2577.00,2577.00,2577.00,1
2026-07-01,0,host017,net_in,559.17,559.17,559.17,1
2026-07-01,0,host017,net_out,50.64,50.64,50.64,1
2026-07-01,0,host017,net_pktin,22733.00,22733.00,22733.00,1
2026-07-01,0,host017,net_pktout,73281.00,73281.00,73281.00,1
2026-07-01,0,host017,proc_block,101.00,101.00,101.00,1
2026-07-01,0,host017,proc_run,1.00,1.00,1.00,1
2026-07-01,0,host017,proc_total,436.00,436.00,436.00,1
2026-07-01,0,host018,cpu_idle,32.83,32.83,32.83,1
2026-07-01,0,host018,cpu_sys,31.30,31.30,31.30,1
2026-07-01,0,host018,cpu_usage,20.66,20.66,20.66,1
2026-07-01,0,host018,cpu_user,2.38,2.38,2.38,1
2026-07-01,0,host018,cpu_wait,3.94,3.94,3.94,1
2026-07-01,0,host018,load1,7.28,7.28,7.28,1
2026-07-01,0,host018,load15,3.62,3.62,3.62,1
2026-07-01,0,host018,load5,12.04,12.04,12.04,1
2026-07-01,0,host018,mem_buff,68278.00,68278.00,68278.00,1
2026-07-01,0,host018,mem_cache,130246.00,130246.00,130246.00,1
2026-07-01,0,host018,mem_free,38163.00,38163.00,38163.00,1
2026-07-01,0,host018,mem_swap,98960.00,98960.00,98960.00,1
2026-07-01,0,host018,mem_used,115117.00,115117.00,115117.00,1
2026-07-01,0,host018,net_in,956.21,956.21,956.21,1
2026-07-01,0,host018,net_out,434.97,434.97,434.97,1
2026-07-01,0,host018,net_pktin,20522.00,20522.00,20522.00,1
2026-07-01,0,host018,net_pktout,41734.00,41734.00,41734.00,1
2026-07-01,0,host018,proc_block,107.00,107.00,107.00,1
2026-07-01,0,host018,proc_run,499.00,499.00,499.00,1
2026-07-01,0,host018,proc_total,492.00,492.00,492.00,1
2026-07-01,0,host019,cpu_idle,68.20,68.20,68.20,1
2026-07-01,0,host019,cpu_sys,14.18,14.18,14.18,1
2026-07-01,0,host019,cpu_usage,37.22,37.22,37.22,1
2026-07-01,0,host019,cpu_user,18.77,18.77,18.77,1
2026-07-01,0,host019,cpu_wait,10.81,10.81,10.81,1
2026-07-01,0,host019,load1,6.01,6.01,6.01,1
2026-07-01,0,host019,load15,15.37,15.37,15.37,1
2026-07-01,0,host019,load5,11.93,11.93,11.93,1
2026-07-01,0,host019,mem_buff,97631.00,97631.00,97631.00,1
2026-07-01,0,host019,mem_cache,119850.00,119850.00,119850.00,1
2026-07-01,0,host019,mem_free,70813.00,70813.00,70813.00,1
2026-07-01,0,host019,mem_swap,51208.00,51208.00,51208.00,1
2026-07-01,0,host019,mem_used,40503.00,40503.00,40503.00,1
2026-07-01,0,host019,net_in,494.66,494.66,494.66,1
2026-07-01,0,host019,net_out,647.01,647.01,647.01,1
2026-07-01,0,host019,net_pktin,12264.00,12264.00,12264.00,1
2026-07-01,0,host019,net_pktout,44613.00,44613.00,44613.00,1
2026-07-01,0,host019,proc_block,358.00,358.00,358.00,1
2026-07-01,0,host019,proc_run,115.00,115.00,115.00,1
2026-07-01,0,host019,proc_total,7.00,7.00,7.00,1
2026-07-01,0,host020,cpu_idle,66.75,66.75,66.75,1
2026-07-01,0,host020,cpu_sys,5.38,5.38,5.38,1
2026-07-01,0,host020,cpu_usage,32.08,32.08,32.08,1
2026-07-01,0,host020,cpu_user,21.20,21.20,21.20,1
2026-07-01,0,host020,cpu_wait,14.33,14.33,14.33,1
2026-07-01,0,host020,load1,20.18,20.18,20.18,1
2026-07-01,0,host020,load15,6.63,6.63,6.63,1
2026-07-01,0,host020,load5,9.70,9.70,9.70,1
2026-07-01,0,host020,mem_buff,58929.00,58929.00,58929.00,1
2026-07-01,0,host020,mem_cache,53959.00,53959.00,53959.00,1
2026-07-01,0,host020,mem_free,120018.00,120018.00,120018.00,1
2026-07-01,0,host020,mem_swap,61446.00,61446.00,61446.00,1
2026-07-01,0,host020,mem_used,69877.00,69877.00,69877.00,1
2026-07-01,0,host020,net_in,569.37,569.37,569.37,1
2026-07-01,0,host020,net_out,956.85,956.85,956.85,1
2026-07-01,0,host020,net_pktin,77902.00,77902.00,77902.00,1
2026-07-01,0,host020,net_pktout,59107.00,59107.00,59107.00,1
2026-07-01,0,host020,proc_block,359.00,359.00,359.00,1
2026-07-01,0,host020,proc_run,45.00,45.00,45.00,1
2026-07-01,0,host020,proc_total,85.00,85.00,85.00,1
2026-07-01,1,host001,cpu_idle,93.71,93.71,93.71,1
2026-07-01,1,host001,cpu_sys,19.20,19.20,19.20,1
2026-07-01,1,host001,cpu_usage,47.68,47.68,47.68,1
2026-07-01,1,host001,cpu_user,47.49,47.49,47.49,1
2026-07-01,1,host001,cpu_wait,30.49,30.49,30.49,1
2026-07-01,1,host001,load1,20.92,20.92,20.92,1
2026-07-01,1,host001,load15,8.94,8.94,8.94,1
2026-07-01,1,host001,load5,6.28,6.28,6.28,1
2026-07-01,1,host001,mem_buff,33703.00,33703.00,33703.00,1
2026-07-01,1,host001,mem_cache,13063.00,13063.00,13063.00,1
2026-07-01,1,host001,mem_free,44927.00,44927.00,44927.00,1
2026-07-01,1,host001,mem_swap,107241.00,107241.00,107241.00,1
2026-07-01,1,host001,mem_used,93185.00,93185.00,93185.00,1
2026-07-01,1,host001,net_in,327.10,327.10,327.10,1
2026-07-01,1,host001,net_out,808.11,808.11,808.11,1
2026-07-01,1,host001,net_pktin,52871.00,52871.00,52871.00,1
2026-07-01,1,host001,net_pktout,40757.00,40757.00,40757.00,1
2026-07-01,1,host001,proc_block,78.00,78.00,78.00,1
2026-07-01,1,host001,proc_run,482.00,482.00,482.00,1
2026-07-01,1,host001,proc_total,320.00,320.00,320.00,1
2026-07-01,1,host002,cpu_idle,31.50,31.50,31.50,1
2026-07-01,1,host002,cpu_sys,9.02,9.02,9.02,1
2026-07-01,1,host002,cpu_usage,48.50,48.50,48.50,1
2026-07-01,1,host002,cpu_user,38.22,38.22,38.22,1
2026-07-01,1,host002,cpu_wait,0.30,0.30,0.30,1
2026-07-01,1,host002,load1,24.32,24.32,24.32,1
2026-07-01,1,host002,load15,2.14,2.14,2.14,1
2026-07-01,1,host002,load5,6.95,6.95,6.95,1
2026-07-01,1,host002,mem_buff,29368.00,29368.00,29368.00,1
2026-07-01,1,host002,mem_cache,10617.00,10617.00,10617.00,1
